domain,mode,tone,reading_level,title,paragraph,style.sentence_length,style.figurative_language,style.concreteness,style.viewpoint,style.temporal_focus
engineering,narrative,plain,Grade8,Repairing the Bike,"Tom worked on his old bike, trying to fix the rusty chain. The sun was setting, casting long shadows on the driveway. His fingers fumbled, greasy and stained. He twisted the wrench with determination, hoping to ride it by dusk. Occasionally, he glanced at his watch, aware of the ticking minutes. His little sister watched, holding a flashlight. She asked questions about each tool, curious about the process. Finally, as the stars emerged, Tom tightened the last bolt. He smiled, satisfied with his effort, ready for a test ride around the neighborhood. It was a small triumph he would recall fondly.",short,low,concrete,3rd,present
engineering,expository,formal,Grade12,Concepts of Civil Engineering,"Civil engineering encompasses the design, construction, and maintenance of infrastructure such as roads, bridges, and buildings. It incorporates elements of mathematics, physics, and materials science to create structures that meet societal needs. Engineers must consider factors like environmental impact, safety standards, and sustainability. Additionally, they ensure compliance with legal regulations and guidelines. Economic constraints often dictate design choices, requiring innovative solutions to optimize resources. Advances in technology, such as computer-aided design, have revolutionized the field, allowing for more precise calculations and modeling. Overall, civil engineering is integral to modern society, shaping the environment we live in.",mixed,none,mixed,3rd,present
engineering,descriptive,technical,Undergraduate,The Laboratory Setup,"In the laboratory, a complex assembly of equipment lines the benches: oscilloscopes, signal generators, and multimeters. Each device, painstakingly connected with cables, performs a unique function in the experimental procedure. The hum of electronics permeates the air, mingling with the faint scent of solder. Precision tools, neatly organized, reside in drawers accessible to lab technicians and engineers alike. Data acquisition systems are set up, buzzing quietly, as students and researchers engage in meticulous testing. Monitors display intricate graphs and waveforms, capturing every nuance of the experiment. This orchestrated environment embodies the heart of innovation, where theoretical concepts take empirical form.",long,none,concrete,3rd,present
engineering,process_explanation,playful,Graduate,Building a Rocket Chair,"Imagine you’re constructing a chair with rocket engines. First, choose lightweight materials like aluminum for the frame. Next, attach propulsion systems under the seat, considering thrust-to-weight ratios. Safeguarding stability, balance the forces carefully. As you integrate guidance technologies, avoid friction drag. Fuel selection is next; choose a high-efficiency option. Now, assemble the comfy cushion, because rocketing to the moon shouldn’t be uncomfortable! Finally, test the ignition carefully. You wouldn't want an unplanned lift-off. Visualize this in future space living rooms, guests amused by your interstellar ingenuity. It’s not just furniture; it’s a cosmic delight in engineering whimsy.",short,medium,abstract,2nd,future
engineering,persuasive,reflective,Graduate,Embracing Renewable Energy Technologies,"As we grapple with the escalating effects of climate change, transitioning to renewable energy sources becomes not merely beneficial, but imperative. Wind and solar technologies offer the promise of endless energy devoid of carbon emissions. Engineers are tasked with overcoming challenges like energy storage and integration into existing grids. The potential for job creation in the renewable sector adds economic incentives to environmental benefits, presenting a comprehensive case for adoption. Reflecting on historical transitions, a shift of this magnitude carries profound implications, reshaping energy markets and policy frameworks. Hence, investing in renewable technologies is instrumental for a sustainable future, urging collective effort and innovation.",long,medium,mixed,3rd,present
engineering,narrative,formal,Undergraduate,The Bridge Project,"I led a team in constructing a pedestrian bridge across a lively stream. Planning was meticulous; every measurement double-checked. The project faced challenges: unexpected rains delayed progress, and supply shortages tested patience. But persistence was our ally. Each beam and bolt was placed with care, ensuring structural integrity. As construction neared completion, anticipation grew. Finally, the day came when we walked across, marking months of hard work and determination. This experience not only tested my engineering skills but also reinforced the value of teamwork and resilience. It was a satisfying moment, seeing our design integrated into the landscape, serving a community need.",short,low,mixed,1st,past
engineering,expository,playful,Grade8,Understanding Robotics,"Ever wonder how a robot sees the world? It uses sensors as eyes and ears, and a computer as a brain. In robotics, engineers design these clever machines to perform tasks, from vacuuming floors to exploring Mars. Imagine giving a robot instructions, like a treasure map, guiding it step by step. They balance with gyroscopes and follow commands through tiny circuits. Engineers creatively build robots to help humans in various jobs, making life easier. So, if you see a robot, think of it as a friendly helper, tirelessly working to make our lives more fun and exciting! What a world robots create for us!",mixed,medium,concrete,2nd,present
engineering,descriptive,conversational,Grade12,Exploring the Underground Tunnel,"The underground tunnel was dark, silent as a secret. Engineers had designed it to be a marvel beneath the surface. Its walls, constructed from reinforced concrete, stood strong despite years passing by. Dim lights cast an eerie glow, guiding travelers safely through. Air vents hummed softly, maintaining the ventilation. Each step echoed slightly, creating an odd rhythm in the stillness. This tunnel, a hidden artery, facilitated the city's vibrant life above. Those who planned it considered every detail, ensuring functionality and safety. It was more than a passage; it was an engineering triumph quietly supporting a bustling metropolis above.",short,medium,mixed,3rd,past
engineering,process_explanation,technical,Graduate,Designing an Aircraft Wing,"The process of designing an aircraft wing begins with an understanding of aerodynamic principles crucial for lift generation. Engineers must select appropriate materials, balancing weight and strength, often using alloys or composite materials. Computational fluid dynamics simulations play a vital role, allowing for the analysis of airflow patterns and pressure distributions. The chosen design must conform to regulatory standards for safety and efficiency. Wind tunnel testing follows, providing empirical data to validate theoretical models. Adjustments may be necessary to optimize performance, such as altering the wing curvature or dimensions. This intricate process harnesses advanced technology and meticulous planning to achieve optimal functionality and innovation in aviation.",long,low,concrete,3rd,present
engineering,persuasive,technical,Undergraduate,Investing in Smart Grids,"As an engineer, I believe smart grids are vital for a sustainable future. They enhance electricity distribution efficiency, integrating renewable sources like solar and wind. Smart grids utilize real-time data analytics to anticipate demand and prevent outages, ensuring reliability. By supporting distributed energy resources, they minimize environmental impact. Additionally, consumer participation empowers users to manage consumption, optimizing energy usage. The initial investment in smart grid infrastructure contributes to long-term cost savings. Future projects integrating such technologies are crucial in the transition towards resilient and flexible energy systems. Embracing smart grids represents wise stewardship of our environmental and technological resources, sealing a path to sustainable progress.",short,medium,abstract,1st,future
