domain,mode,tone,reading_level,title,paragraph,style.sentence_length,style.figurative_language,style.concreteness,style.viewpoint,style.temporal_focus
everyday_scenarios,narrative,plain,Grade8,Lost in the Corn Maze,"The autumn sun was setting, painting the sky in hues of orange and pink. Sam was deep within the twists and turns of the corn maze, realizing they were not as easy to navigate as they seemed. The air smelled of dried corn and earth, a reminder that the field was massive and unfamiliar. Sam took a left, then a right, but every path seemed to lead back to the same spot with the battered wooden sign. Anxiety bubbled up as the chorus of distant laughter from other wanderers grew faint, almost like a fading radio tune. Determined not to let the shadows and his imagination win, Sam pressed on with renewed determination. Finally, after what felt like an eternity, the distant glow of the entrance lights danced in the distance. Relief washed over him like a warm wave, and he paced quickly toward the exit. Emerging from the maze, Sam vowed to remember this adventure as a lesson in perseverance.",mixed,low,concrete,3rd,past
everyday_scenarios,expository,formal,Grade12,Understanding Urban Gardening,"Urban gardening represents a growing trend whereby city dwellers cultivate plants, flowers, or edibles in decidedly limited urban spaces. This practice is rooted in a desire to establish a direct connection with nature despite the constraints imposed by urban environments. Urban gardening frequently involves utilizing unconventional spaces, such as rooftops, balconies, and vertical structures, to cultivate vegetation. These gardens not only contribute to aesthetic appeal but also foster environmental benefits, including the reduction of urban heat through the provision of green canopies. Furthermore, urban gardening can serve as an educational platform, enhancing recognition of sustainable practices and local food systems. Notably, this form of gardening enables city residents to engage in ecological stewardship, promoting biodiversity and enhancing air quality within urban confines. Therefore, urban gardening embodies a synthesis of practicality and environmental consciousness, underscoring the innovative potential for urban environments to harmonize with natural ecosystems.",long,medium,mixed,3rd,present
everyday_scenarios,descriptive,technical,Undergraduate,The Intricacies of a Busy Train Station,"A bustling train station operates as a complex machine with various interrelated components functioning in unison to facilitate travel. The architecture itself is meticulously designed, utilizing spacious corridors to manage the flow of people, ticket counters strategically positioned for efficiency, and signage omnipresent to direct passengers toward differing platforms. The auditory environment is characterized by a medley of sound: the mechanical rolling of luggage wheels across tiled floors, the periodic chime announcing arrivals and departures, and an indistinct hum generated by converging conversations. Each platform is equipped with automatic doors calibrated to open in synchrony with train arrivals, ensuring crowd control and safety measures are maintained. The tactile experience, too, is diverse—from the smooth, cool surfaces of ticket machines to the textured grip of escalator railings. Together, these elements transform the station into a dynamic hub in which precision and functionality converge, facilitating the interplay of human and mechanical interaction.",long,none,concrete,3rd,present
everyday_scenarios,process_explanation,playful,Graduate,The Art of Making the Perfect Pancake,"Ah, pancakes, those fluffy disks of delight! Crafting the perfect pancake requires a touch of finesse and the wisdom of breakfast sages. First, gather your ingredients: flour, eggs, milk, a sprinkle of salt, and a dash of sugar. Begin by whisking them energetically, conjuring a smooth batter, free of rebellious lumps. Your skillet should be a blistering hot dance floor, where each dollop of batter pirouettes into a golden disc. As bubbles appear on the surface, teasing you with promises of airy interior, it becomes time to flip. With a flick of the wrist—voila!—the pancake reveals its tawny complexion, winking back at you. Resist the urge to press it; pancakes disdain such interference, preferring to rise unfettered. Once cooked to golden perfection, stack them with precision, adorning with butter that melts into rivulets and syrup flowing in amber streams. There you have it, a culinary symphony, an ode to breakfast's most tender creation. Enjoy!",mixed,high,concrete,2nd,present
everyday_scenarios,persuasive,reflective,Graduate,Importance of Digital Detox,"In today's hyper-connected world, the ubiquitous presence of digital devices has notably permeated every aspect of our lives, beckoning a pervasive need for conscientious reflection on the implications of our interactions with technology. As a constant companion to our daily routines, screens provide unbridled access to information, entertainment, and social connectivity. However, often neglected is the subtle yet profound impact of excess digital consumption on our mental and emotional well-being. It is imperative to recognize the insidious nature of digital distractions that can detrimentally affect attention spans, hinder face-to-face communication skills, and foster a sense of virtual isolation. Embracing the concept of a digital detox, a deliberate and temporary disconnection from our electronic tethering, offers more than just a respite; it fosters an opportunity to reconnect with the tangible, the personal, and the immediate. It is an antidote that nourishes mindfulness, encourages real-time experiences, and promotes the flourishing of deeper relationships with both self and others, unencumbered by the cacophony of constant digital chatter.",long,medium,mixed,1st,present
everyday_scenarios,narrative,formal,Undergraduate,A Day at the New Library,"In the near future, a day at the state-of-the-art library promises an experience replete with innovation and discovery. This newly unveiled establishment, designed to cater to the intellectual pursuits of a diverse patronage, is a modern marvel of architectural ingenuity characterized by towering glass facades and interwoven green spaces. The library's interior is a haven for voracious readers, featuring an expansive collection that spans myriad genres and languages. Visitors will find themselves immersed in a world where knowledge is both celebrated and shared, facilitated by advanced digital catalogs and interactive information kiosks. In the hushed corridors, the gentle hum of electronic cues harmonizes with the rustle of pages being turned, a testament to the library's perfect amalgamation of tradition and technology. As the sun dips beyond the horizon, casting a golden hue through the vast windows, patrons linger in cozy reading nooks, engaged deeply with texts, while the more curious minds explore dynamic workshops designed to ignite creativity and foster collaborative learning opportunities. This library, envisioned as a beacon of education and enlightenment, symbolizes the enduring importance of accessible knowledge repositories in our communities.",mixed,medium,mixed,3rd,future
everyday_scenarios,expository,conversational,Grade8,Why Recycling Matters,"Recycling is something many people talk about, but not everyone takes seriously. It's actually a simple thing we can do to help our planet. When you recycle, you turn old things like paper and plastic into new things. This saves energy because creating new products from raw materials uses up a lot more energy. It also means we can reduce the amount of trash we make. Less trash means smaller landfills and less pollution. Plus, recycling helps save important resources like trees and minerals. Think about it: if we keep using up these resources without recycling, we might run out someday. What's great is that recycling doesn't take a lot of effort. All it takes is remembering to use the right bin for your waste. Schools, homes, and offices can all do it, and it’s something you can start right now. Recycling matters because it's an easy way to make a big impact.",short,low,concrete,3rd,present
everyday_scenarios,descriptive,reflective,Graduate,A Rainy Afternoon at the Café,"On that particular drizzly afternoon, I found myself cocooned within the familiar embrace of a quaint café, the perpetually welcoming refuge against the rhythmic patter of rain. The atmosphere was a blend of aromatic coffee and the rich, warm hues of mahogany and amber light filtering softly through rain-splattered windows. Around me, the gentle murmur of patrons in quiet conversation created a tapestry of sound, punctuated intermittently by the soft clink of ceramic cups touching polished tables. As I sat, absorbed in thought, my gaze fell upon the rivulets of rain weaving intricate patterns against the glass, each droplet a small whisper of nature's artistry. The air inside was thick with the scent of freshly ground beans, mingled with the distant notes of cinnamon and sweet pastries. In this cocooned corner of the world, time unfurled lazily, each tick of the clock harmonized with the delicate cadence of the falling rain. We, the gathered souls within this earthy haven, shared a collective pause, savoring every unhurried moment enveloped by the enthralling dance between the interior’s warmth and the stormy embrace of the world outside.",long,high,mixed,1st,past
everyday_scenarios,process_explanation,technical,Grade12,How a Car Engine Works,"The process of how a car engine works is an intriguing chain of events that transforms fuel into motion. At its core, an engine operates on the four-stroke cycle: intake, compression, combustion, and exhaust. During the intake phase, air and fuel are drawn into the cylinder as the piston moves down the chamber. The compression stroke follows, with the piston ascending, compressing the air-fuel mixture tightly. Herein lies the heart of the engine's efficiency: a well-compressed mixture ignites more powerfully. As the compressed mixture is ignited by a spark from the spark plug, a tiny explosive force drives the piston back down, generating power that turns the crankshaft, setting the car in motion. Finally, the exhaust stroke expels the burnt gases from the cylinder, resetting the mechanism for the next cycle. This series of actions repetitively plays out within each cylinder of the engine, synchronizing to produce the continuous movement required to power a vehicle.",mixed,low,mixed,3rd,present
everyday_scenarios,persuasive,playful,Grade12,Why Try Journaling?,"If you have ever felt the world is swirling too fast and life feels like a rollercoaster you can’t get off, it's time you give journaling a whirl. Imagine having a corner of your world where you can scribble freely, unjudged, diving into the vortex of your thoughts and dreams. Journaling is like having a conversation with a best friend who speaks the language of your soul. To make it more intriguing, think of your journal as a time capsule, where today’s musings become tomorrow’s echoed memories. Whether you need to pour out your heart or craft imaginative tales, journals are as patient as a sage. Grab a pen and let your thoughts dance across the page like fireflies on a summer night, casting fleeting glimmers of clarity. Besides, writing regularly can sharpen your mind and keep your creativity on its toes. So, ready to embark on this paper-bound journey? Start jotting down those thoughts; the pages await your very own kind of magic.",short,medium,mixed,2nd,present
